DEBUG 2024-05-25 17:35:12,043 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/django/core/files/utils.py first seen with mtime 1714935127.4819634
DEBUG 2024-05-25 17:35:12,043 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/scipy/sparse/linalg/__init__.py first seen with mtime 1712615779.0173929
DEBUG 2024-05-25 17:35:12,043 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/anyio/_core/_signals.py first seen with mtime 1712615785.117245
DEBUG 2024-05-25 17:35:12,043 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/sqlalchemy/util/concurrency.py first seen with mtime 1714204963.0265198
DEBUG 2024-05-25 17:35:12,043 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/pandas/_config/dates.py first seen with mtime 1712615788.5531619
DEBUG 2024-05-25 17:35:12,043 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/django/contrib/staticfiles/views.py first seen with mtime 1714935127.4779632
DEBUG 2024-05-25 17:35:12,043 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/scipy/stats/_sensitivity_analysis.py first seen with mtime 1712615778.2974102
DEBUG 2024-05-25 17:35:12,043 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/scipy/linalg/basic.py first seen with mtime 1712615778.8733962
DEBUG 2024-05-25 17:35:12,043 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/sentry_sdk/sessions.py first seen with mtime 1716656099.1402423
DEBUG 2024-05-25 17:35:12,043 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/numpy/core/_ufunc_config.py first seen with mtime 1712615772.7615442
DEBUG 2024-05-25 17:35:12,043 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/scipy/sparse/linalg/_dsolve/_superlu.cpython-310-x86_64-linux-gnu.so first seen with mtime 1712615779.049392
DEBUG 2024-05-25 17:35:12,043 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/graphql/language/directive_locations.py first seen with mtime 1714204962.9065201
DEBUG 2024-05-25 17:35:12,043 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/scipy/_lib/messagestream.cpython-310-x86_64-linux-gnu.so first seen with mtime 1712615778.5174048
DEBUG 2024-05-25 17:35:12,043 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/pandas/core/missing.py first seen with mtime 1712615788.8691542
DEBUG 2024-05-25 17:35:12,044 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/sqlparse/filters/right_margin.py first seen with mtime 1714204961.686524
DEBUG 2024-05-25 17:35:12,044 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/lib-dynload/_zoneinfo.cpython-310-x86_64-linux-gnu.so first seen with mtime 1688584076.6809702
DEBUG 2024-05-25 17:35:12,044 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/scipy/optimize/_trustregion_dogleg.py first seen with mtime 1712615779.0693915
DEBUG 2024-05-25 17:35:12,044 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/numpy/_utils/__init__.py first seen with mtime 1712615772.5855484
DEBUG 2024-05-25 17:35:12,044 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/httpcore/_async/http11.py first seen with mtime 1712615784.585258
DEBUG 2024-05-25 17:35:12,044 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/pandas/core/interchange/utils.py first seen with mtime 1712615788.8931537
DEBUG 2024-05-25 17:35:12,044 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/scipy/stats/mstats_extras.py first seen with mtime 1712615778.2974102
DEBUG 2024-05-25 17:35:12,044 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/asyncio/exceptions.py first seen with mtime 1688584059.3211596
DEBUG 2024-05-25 17:35:12,044 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/graphql/language/source.py first seen with mtime 1714204962.9065201
DEBUG 2024-05-25 17:35:12,044 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/lib-dynload/_uuid.cpython-310-x86_64-linux-gnu.so first seen with mtime 1688584075.0929875
DEBUG 2024-05-25 17:35:12,044 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/scipy/optimize/_linprog_ip.py first seen with mtime 1712615779.0693915
DEBUG 2024-05-25 17:35:12,044 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/site-packages/django/contrib/auth/admin.py first seen with mtime 1714935127.2699528
DEBUG 2024-05-25 17:35:12,044 autoreload File /home/yanis/miniconda3/envs/venv/lib/python3.10/asyncio/mixins.py first seen with mtime 1688584059.3291595
